Chunk_Index,Entity_Name,Type,Confidence
8,Sepp Piontek,👤 Person/Manager,99.80%
8,Ćiro Blažević,👤 Person/Manager,98.99%
8,Dori Kürschner,👤 Person/Manager,99.67%
8,Emerigo Hirschl,👤 Person/Manager,99.88%
8,River Plate,🏟️ Club/Country,99.85%
8,A,👤 Person/Manager,98.69%
8,Imre,👤 Person/Manager,94.56%
8,Emerich Hirschl,👤 Person/Manager,97.11%
8,d,👤 Person/Manager,94.22%
9,Kürschner,👤 Person/Manager,98.82%
9,Hirschl,👤 Person/Manager,99.54%
9,Guardiola,👤 Person/Manager,98.73%
9,José Mourinho,👤 Person/Manager,99.83%
9,##ru,👤 Person/Manager,50.16%
9,Terry V,👤 Person/Manager,99.96%
9,Bill Nicholson,👤 Person/Manager,99.95%
9,Bobby Robson,👤 Person/Manager,99.97%
10,Terry Venables,👤 Person/Manager,95.94%
10,Sven - Göran Eriksson,👤 Person/Manager,99.15%
11,Steve Stone,👤 Person/Manager,99.97%
11,Ronaldinho,👤 Person/Manager,98.74%
11,Alf Ramsey,👤 Person/Manager,99.97%
11,Steve McClaren,👤 Person/Manager,99.38%
11,Steven Gerrard,👤 Person/Manager,96.81%
11,Oscar Washington Tabárez,👤 Person/Manager,93.22%
12,Ferenc Puskás,👤 Person/Manager,99.40%
12,FIFA,🏟️ Club/Country,92.81%
12,Soccer N,🏟️ Club/Country,60.55%
12,##esis,🏟️ Club/Country,68.88%
13,Rob Steen,👤 Person/Manager,99.84%
13,##ver,🏟️ Club/Country,50.00%
13,David Downing,👤 Person/Manager,99.92%
13,Ramsey,👤 Person/Manager,99.97%
14,Alex Ferguson,👤 Person/Manager,99.95%
14,Valeriy Lobanovskyi,👤 Person/Manager,99.18%
14,Bill Shankly,👤 Person/Manager,97.86%
14,Boris Arkadiev,👤 Person/Manager,99.81%
14,Arsène Wenger,👤 Person/Manager,99.89%
14,Arsenal,🏟️ Club/Country,99.94%
14,Chelsea,🏟️ Club/Country,99.88%
14,Lobanovskyi,👤 Person/Manager,97.37%
14,Dynamo Kyiv,🏟️ Club/Country,87.66%
14,AC Milan,🏟️ Club/Country,99.95%
14,Fabio Capello,👤 Person/Manager,99.51%
15,Grad,🏟️ Club/Country,55.45%
15,Capello,👤 Person/Manager,99.77%
15,Real Madrid,🏟️ Club/Country,98.85%
15,Fernando Hierro,👤 Person/Manager,97.06%
15,Roberto Carlos,👤 Person/Manager,99.91%
16,Real,🏟️ Club/Country,97.09%
16,Wenger,👤 Person/Manager,99.57%
17,Gazza,👤 Person/Manager,96.92%
19,Juventus,🏟️ Club/Country,99.92%
19,Glanville,👤 Person/Manager,99.61%
19,Willy Meisl,👤 Person/Manager,99.86%
19,Hugo Meisl,👤 Person/Manager,99.46%
21,David Winner,👤 Person/Manager,99.95%
22,Edward Thring,👤 Person/Manager,98.85%
22,Up,🏟️ Club/Country,96.20%
22,##ham School,🏟️ Club/Country,83.93%
22,E,👤 Person/Manager,99.78%
22,C. Thompson,👤 Person/Manager,97.55%
22,Story Paper,🏟️ Club/Country,49.24%
23,George Mikes,👤 Person/Manager,99.91%
23,H,👤 Person/Manager,81.10%
23,C,👤 Person/Manager,88.75%
23,Mal,👤 Person/Manager,44.94%
23,##den,🏟️ Club/Country,76.24%
23,God,👤 Person/Manager,92.67%
23,##alming,🏟️ Club/Country,55.26%
23,Surrey,🏟️ Club/Country,88.90%
23,Cambridge,🏟️ Club/Country,87.47%
23,Harrow,🏟️ Club/Country,87.69%
23,Eton,🏟️ Club/Country,89.26%
23,Winchester,🏟️ Club/Country,73.36%
24,C. Malden,👤 Person/Manager,99.67%
24,Rugby,🏟️ Club/Country,98.39%
24,Shrewsbury,🏟️ Club/Country,89.39%
24,Malden,👤 Person/Manager,99.43%
24,J,👤 Person/Manager,99.89%
24,C. Thring,👤 Person/Manager,98.49%
24,Edward,👤 Person/Manager,99.88%
24,Football Association,🏟️ Club/Country,99.40%
25,F. W. Campbell,👤 Person/Manager,98.44%
25,##h,🏟️ Club/Country,85.57%
25,Black,👤 Person/Manager,65.27%
25,##heath,🏟️ Club/Country,82.57%
25,FA,🏟️ Club/Country,99.10%
25,Geoffrey,👤 Person/Manager,99.82%
25,Green,🏟️ Club/Country,89.80%
25,soccer,🏟️ Club/Country,34.78%
25,Times,🏟️ Club/Country,93.39%
26,Geoffrey Green,👤 Person/Manager,99.88%
26,Times of London,🏟️ Club/Country,99.90%
26,Leigh Richmond Roose,👤 Person/Manager,99.75%
27,Eton,👤 Person/Manager,99.14%
27,Charles W. Alcock,👤 Person/Manager,99.43%
28,Sheffield College,🏟️ Club/Country,95.90%
28,Sheffield Club,🏟️ Club/Country,99.83%
28,Hallam Football Club,🏟️ Club/Country,99.74%
28,Sheffield,🏟️ Club/Country,99.63%
28,William Chesterman,👤 Person/Manager,99.82%
28,Notts County,🏟️ Club/Country,99.93%
29,London,🏟️ Club/Country,75.40%
29,Alcock,👤 Person/Manager,99.66%
29,Percy M. Young,👤 Person/Manager,95.78%
29,Chenery,👤 Person/Manager,99.25%
